FIT Profiler Report
Profile stats for: [LightningModule]LitGIBLi.configure_callbacks
         7 function calls in 0.000 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 contextlib.py:139(__exit__)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.000    0.000 profiler.py:55(profile)
        1    0.000    0.000    0.000    0.000 advanced.py:79(stop)
        1    0.000    0.000    0.000    0.000 module.py:934(configure_callbacks)
        1    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}



Profile stats for: [LightningDataModule]LitTS40K_FULL_Preprocessed.setup
         284732 function calls (284695 primitive calls) in 0.720 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.720    0.720 lit_ts40k.py:155(setup)
        1    0.001    0.001    0.650    0.650 TS40K.py:931(_build_pyramid)
     11/1    0.000    0.000    0.478    0.478 module.py:1528(_wrapped_call_impl)
     11/1    0.000    0.000    0.478    0.478 module.py:1534(_call_impl)
        1    0.000    0.000    0.478    0.478 GIBLi_utils.py:108(forward)
        1    0.000    0.000    0.478    0.478 _contextlib.py:112(decorate_context)
        1    0.000    0.000    0.478    0.478 GIBLi_utils.py:252(build_grid_graph_pyramid)
       10    0.000    0.000    0.246    0.025 GIBLi_utils.py:54(forward)
       10    0.000    0.000    0.246    0.025 neighbors.py:50(__call__)
       10    0.000    0.000    0.246    0.025 knn.py:15(__call__)
       10    0.000    0.000    0.246    0.025 knn.py:99(keops_knn)
       10    0.000    0.000    0.245    0.025 lazy_tensor.py:2462(Kmin_argKmin)
       10    0.000    0.000    0.245    0.025 lazy_tensor.py:648(reduction)
       10    0.000    0.000    0.245    0.024 lazy_tensor.py:900(__call__)
       10    0.000    0.000    0.245    0.024 generic_red.py:544(__call__)
       10    0.000    0.000    0.241    0.024 generic_red.py:382(GenredAutograd_fun)
       10    0.000    0.000    0.241    0.024 function.py:582(apply)
       10    0.000    0.000    0.240    0.024 {built-in method apply}
       10    0.000    0.000    0.237    0.024 generic_red.py:289(forward)
       10    0.000    0.000    0.237    0.024 generic_red.py:71(_forward)
       10    0.000    0.000    0.237    0.024 LoadKeOps.py:177(genred)
       10    0.236    0.024    0.236    0.024 LoadKeOps_nvrtc.py:47(call_keops)
        3    0.000    0.000    0.231    0.077 query_points_strat.py:31(__call__)
        3    0.194    0.065    0.231    0.077 grid_poooling.py:22(__call__)
      486    0.004    0.000    0.115    0.000 TS40K.py:954(<listcomp>)
     2268    0.091    0.000    0.091    0.000 {method 'cpu' of 'torch._C.TensorBase' objects}
        1    0.000    0.000    0.070    0.070 TS40K.py:890(__init__)
        3    0.010    0.003    0.064    0.021 TS40K.py:912(<listcomp>)
        3    0.008    0.003    0.038    0.013 grid_poooling.py:311(grid_pooling_pack_mode)
     2269    0.032    0.000    0.032    0.000 {method 'to' of 'torch._C.TensorBase' objects}
    32469    0.021    0.000    0.032    0.000 posixpath.py:71(join)
        1    0.001    0.001    0.025    0.025 TS40K.py:942(<listcomp>)
      162    0.000    0.000    0.024    0.000 TS40K.py:974(__getitem__)
      162    0.001    0.000    0.024    0.000 serialization.py:865(load)
    16233    0.004    0.000    0.023    0.000 genericpath.py:27(isfile)
    16373    0.018    0.000    0.018    0.000 {built-in method posix.stat}
      162    0.001    0.000    0.017    0.000 serialization.py:1338(_load)
      162    0.001    0.000    0.014    0.000 {method 'load' of '_pickle.Unpickler' objects}
      162    0.001    0.000    0.013    0.000 TS40K.py:956(<listcomp>)
      324    0.000    0.000    0.011    0.000 serialization.py:1399(persistent_load)
      162    0.008    0.000    0.010    0.000 serialization.py:1372(load_tensor)
      486    0.007    0.000    0.007    0.000 {method 'amin' of 'torch._C.TensorBase' objects}
        1    0.007    0.007    0.007    0.007 {built-in method torch.stack}
        1    0.000    0.000    0.007    0.007 memory.py:150(empty_cache)
        1    0.007    0.007    0.007    0.007 {built-in method torch._C._cuda_emptyCache}
      489    0.007    0.000    0.007    0.000 {built-in method torch.cat}
    32469    0.004    0.000    0.005    0.000 posixpath.py:41(_get_sep)
      486    0.004    0.000    0.004    0.000 {built-in method torch.full_like}
      6/3    0.000    0.000    0.004    0.001 _jit_internal.py:487(fn)
        3    0.000    0.000    0.004    0.001 functional.py:760(_unique_impl)
        3    0.004    0.001    0.004    0.001 {built-in method torch._unique2}
       16    0.004    0.000    0.004    0.000 {method 'long' of 'torch._C.TensorBase' objects}
       10    0.000    0.000    0.003    0.000 operations.py:38(postprocess)
        3    0.003    0.001    0.003    0.001 {built-in method posix.listdir}
        4    0.003    0.001    0.003    0.001 {method 'cuda' of 'torch._C.TensorBase' objects}
       10    0.000    0.000    0.003    0.000 utils.py:60(long)
      489    0.003    0.000    0.003    0.000 {method 'item' of 'torch._C.TensorBase' objects}
      162    0.003    0.000    0.003    0.000 serialization.py:455(__init__)
        1    0.003    0.003    0.003    0.003 {built-in method numpy.array}
       10    0.000    0.000    0.003    0.000 traceback.py:61(format_stack)
    32480    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
    32476    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
        3    0.002    0.001    0.002    0.001 grid_poooling.py:325(ravel_hash_func)
